Region Name,Sub-region Name,Intermediate Region Name,Country or Area
Africa,Northern Africa,,Algeria
Africa,Northern Africa,,Egypt
Africa,Northern Africa,,Libya
Africa,Northern Africa,,Morocco
Africa,Northern Africa,,Sudan
Africa,Northern Africa,,Tunisia
Africa,Northern Africa,,Western Sahara
Africa,Sub-Saharan Africa,Eastern Africa,British Indian Ocean Territory
Africa,Sub-Saharan Africa,Eastern Africa,Burundi
Africa,Sub-Saharan Africa,Eastern Africa,Comoros
Africa,Sub-Saharan Africa,Eastern Africa,Djibouti
Africa,Sub-Saharan Africa,Eastern Africa,Eritrea
Africa,Sub-Saharan Africa,Eastern Africa,Ethiopia
Africa,Sub-Saharan Africa,Eastern Africa,French Southern Territories
Africa,Sub-Saharan Africa,Eastern Africa,Kenya
Africa,Sub-Saharan Africa,Eastern Africa,Madagascar
Africa,Sub-Saharan Africa,Eastern Africa,Malawi
Africa,Sub-Saharan Africa,Eastern Africa,Mauritius
Africa,Sub-Saharan Africa,Eastern Africa,Mayotte
Africa,Sub-Saharan Africa,Eastern Africa,Mozambique
Africa,Sub-Saharan Africa,Eastern Africa,Réunion
Africa,Sub-Saharan Africa,Eastern Africa,Rwanda
Africa,Sub-Saharan Africa,Eastern Africa,Seychelles
Africa,Sub-Saharan Africa,Eastern Africa,Somalia
Africa,Sub-Saharan Africa,Eastern Africa,South Sudan
Africa,Sub-Saharan Africa,Eastern Africa,Uganda
Africa,Sub-Saharan Africa,Eastern Africa,United Republic of Tanzania
Africa,Sub-Saharan Africa,Eastern Africa,Zambia
Africa,Sub-Saharan Africa,Eastern Africa,Zimbabwe
Africa,Sub-Saharan Africa,Middle Africa,Angola
Africa,Sub-Saharan Africa,Middle Africa,Cameroon
Africa,Sub-Saharan Africa,Middle Africa,Central African Republic
Africa,Sub-Saharan Africa,Middle Africa,Chad
Africa,Sub-Saharan Africa,Middle Africa,Congo
Africa,Sub-Saharan Africa,Middle Africa,Democratic Republic of the Congo
Africa,Sub-Saharan Africa,Middle Africa,Equatorial Guinea
Africa,Sub-Saharan Africa,Middle Africa,Gabon
Africa,Sub-Saharan Africa,Middle Africa,Sao Tome and Principe
Africa,Sub-Saharan Africa,Southern Africa,Botswana
Africa,Sub-Saharan Africa,Southern Africa,Eswatini
Africa,Sub-Saharan Africa,Southern Africa,Lesotho
Africa,Sub-Saharan Africa,Southern Africa,Namibia
Africa,Sub-Saharan Africa,Southern Africa,South Africa
Africa,Sub-Saharan Africa,Western Africa,Benin
Africa,Sub-Saharan Africa,Western Africa,Burkina Faso
Africa,Sub-Saharan Africa,Western Africa,Cabo Verde
Africa,Sub-Saharan Africa,Western Africa,Côte d’Ivoire
Africa,Sub-Saharan Africa,Western Africa,Gambia
Africa,Sub-Saharan Africa,Western Africa,Ghana
Africa,Sub-Saharan Africa,Western Africa,Guinea
Africa,Sub-Saharan Africa,Western Africa,Guinea-Bissau
Africa,Sub-Saharan Africa,Western Africa,Liberia
Africa,Sub-Saharan Africa,Western Africa,Mali
Africa,Sub-Saharan Africa,Western Africa,Mauritania
Africa,Sub-Saharan Africa,Western Africa,Niger
Africa,Sub-Saharan Africa,Western Africa,Nigeria
Africa,Sub-Saharan Africa,Western Africa,Saint Helena
Africa,Sub-Saharan Africa,Western Africa,Senegal
Africa,Sub-Saharan Africa,Western Africa,Sierra Leone
Africa,Sub-Saharan Africa,Western Africa,Togo
Americas,Latin America and the Caribbean,Caribbean,Anguilla
Americas,Latin America and the Caribbean,Caribbean,Antigua and Barbuda
Americas,Latin America and the Caribbean,Caribbean,Aruba
Americas,Latin America and the Caribbean,Caribbean,Bahamas
Americas,Latin America and the Caribbean,Caribbean,Barbados
Americas,Latin America and the Caribbean,Caribbean,Bonaire
Americas,Latin America and the Caribbean,Caribbean,British Virgin Islands
